,action,s0,s1,s2,s3,s4,l0,l1,l2,l3,l4
96,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
97,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
99,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
100,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
101,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
102,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
103,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
104,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
105,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
106,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
107,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
108,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
109,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
112,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
113,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
114,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
115,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
116,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
117,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
118,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
119,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
120,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
123,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
124,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
125,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
127,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
128,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
129,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
130,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
131,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
133,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
134,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
136,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
137,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
138,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
139,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
140,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
145,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
146,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
147,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
148,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
150,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
151,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
152,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
153,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
154,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
155,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
157,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
158,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
160,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
161,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
162,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
163,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
164,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
167,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
168,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
171,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
172,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
173,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
174,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
175,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
176,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
177,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
178,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
179,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
181,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
182,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
183,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
184,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
185,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
186,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
