,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
534,10,9,1,1,0,2,1
535,9,11,1,1,2,2,1
536,11,12,1,1,2,1,1
537,12,13,1,1,1,0,1
538,13,14,1,1,0,2,1
539,14,15,1,1,2,2,1
540,15,16,1,1,2,2,1
541,16,17,1,1,2,2,1
542,17,13,1,1,2,0,1
543,13,29,1,3,0,0,1
544,29,27,3,3,0,2,1
545,27,28,3,3,2,0,1
546,28,25,3,2,0,0,1
547,25,18,2,2,0,2,1
548,18,19,2,2,2,2,1
549,19,20,2,2,2,0,1
550,20,4,2,0,0,0,1
551,4,0,0,0,0,2,1
552,0,1,0,0,2,2,1
553,1,2,0,0,2,2,1
554,2,3,0,0,2,1,1
555,3,5,0,0,1,2,1
556,5,6,0,0,2,2,1
557,6,7,0,0,2,0,1
558,7,8,0,0,0,2,1
559,8,7,0,0,2,0,1
560,7,10,0,1,0,0,1
561,10,9,1,1,0,2,1
562,9,11,1,1,2,2,1
563,11,12,1,1,2,1,1
564,12,13,1,1,1,0,1
565,13,14,1,1,0,2,1
566,14,15,1,1,2,2,1
567,15,16,1,1,2,2,1
568,16,17,1,1,2,2,1
569,17,9,1,1,2,2,1
570,9,16,1,1,2,2,1
571,16,10,1,1,2,0,1
572,10,7,1,0,0,0,1
573,7,0,0,0,0,2,1
574,0,1,0,0,2,2,1
575,1,2,0,0,2,2,1
576,2,3,0,0,2,1,1
577,3,4,0,0,1,0,1
578,4,5,0,0,0,2,1
579,5,6,0,0,2,2,1
580,6,8,0,0,2,2,1
581,8,0,0,0,2,2,1
582,0,3,0,0,2,1,1
583,3,7,0,0,1,0,1
584,7,10,0,1,0,0,1
585,10,9,1,1,0,2,1
586,9,11,1,1,2,2,1
587,11,12,1,1,2,1,1
588,12,13,1,1,1,0,1
589,13,14,1,1,0,2,1
590,14,15,1,1,2,2,1
591,15,16,1,1,2,2,1
592,16,17,1,1,2,2,1
593,17,16,1,1,2,2,1
594,16,15,1,1,2,2,1
595,15,10,1,1,2,0,1
596,10,7,1,0,0,0,1
597,7,0,0,0,0,2,1
598,0,1,0,0,2,2,1
599,1,2,0,0,2,2,1
600,2,3,0,0,2,1,1
601,3,4,0,0,1,0,1
602,4,5,0,0,0,2,1
603,5,6,0,0,2,2,1
604,6,8,0,0,2,2,1
605,8,0,0,0,2,2,1
606,0,8,0,0,2,2,1
607,8,7,0,0,2,0,1
608,7,10,0,1,0,0,1
609,10,9,1,1,0,2,1
610,9,11,1,1,2,2,1
611,11,12,1,1,2,1,1
612,12,13,1,1,1,0,1
613,13,14,1,1,0,2,1
614,14,15,1,1,2,2,1
615,15,16,1,1,2,2,1
616,16,17,1,1,2,2,1
617,17,11,1,1,2,2,1
618,11,12,1,1,2,1,1
619,12,10,1,1,1,0,1
620,10,7,1,0,0,0,1
621,7,0,0,0,0,2,1
622,0,1,0,0,2,2,1
623,1,2,0,0,2,2,1
624,2,3,0,0,2,1,1
625,3,4,0,0,1,0,1
626,4,5,0,0,0,2,1
627,5,6,0,0,2,2,1
628,6,8,0,0,2,2,1
629,8,6,0,0,2,2,1
630,6,3,0,0,2,1,1
631,3,7,0,0,1,0,1
632,7,0,0,0,0,2,1
633,0,1,0,0,2,2,1
634,1,2,0,0,2,2,1
635,2,0,0,0,2,2,1
636,0,4,0,0,2,0,1
637,4,5,0,0,0,2,1
638,5,3,0,0,2,1,1
639,3,8,0,0,1,2,1
640,8,6,0,0,2,2,1
641,6,2,0,0,2,2,1
642,2,7,0,0,2,0,1
643,7,10,0,1,0,0,1
644,10,9,1,1,0,2,1
645,9,11,1,1,2,2,1
646,11,12,1,1,2,1,1
647,12,13,1,1,1,0,1
648,13,14,1,1,0,2,1
649,14,15,1,1,2,2,1
650,15,16,1,1,2,2,1
651,16,17,1,1,2,2,1
652,17,14,1,1,2,2,1
653,14,9,1,1,2,2,1
654,9,10,1,1,2,0,1
655,10,7,1,0,0,0,1
656,7,0,0,0,0,2,1
657,0,1,0,0,2,2,1
658,1,2,0,0,2,2,1
659,2,3,0,0,2,1,1
660,3,4,0,0,1,0,1
661,4,5,0,0,0,2,1
662,5,6,0,0,2,2,1
663,6,8,0,0,2,2,1
664,8,2,0,0,2,2,1
665,2,0,0,0,2,2,1
666,0,7,0,0,2,0,1
667,7,10,0,1,0,0,1
668,10,9,1,1,0,2,1
669,9,11,1,1,2,2,1
670,11,12,1,1,2,1,1
671,12,13,1,1,1,0,1
672,13,14,1,1,0,2,1
673,14,15,1,1,2,2,1
674,15,16,1,1,2,2,1
675,16,17,1,1,2,2,1
676,17,10,1,1,2,0,1
677,10,7,1,0,0,0,1
678,7,0,0,0,0,2,1
679,0,1,0,0,2,2,1
680,1,2,0,0,2,2,1
681,2,3,0,0,2,1,1
682,3,4,0,0,1,0,1
683,4,5,0,0,0,2,1
684,5,6,0,0,2,2,1
685,6,8,0,0,2,2,1
686,8,0,0,0,2,2,1
687,0,4,0,0,2,0,1
688,4,7,0,0,0,0,1
689,7,10,0,1,0,0,1
690,10,9,1,1,0,2,1
691,9,11,1,1,2,2,1
692,11,12,1,1,2,1,1
693,12,13,1,1,1,0,1
694,13,14,1,1,0,2,1
695,14,15,1,1,2,2,1
696,15,16,1,1,2,2,1
697,16,17,1,1,2,2,1
698,17,11,1,1,2,2,1
699,11,17,1,1,2,2,1
700,17,10,1,1,2,0,1
701,10,7,1,0,0,0,1
702,7,0,0,0,0,2,1
703,0,1,0,0,2,2,1
704,1,2,0,0,2,2,1
705,2,3,0,0,2,1,1
706,3,4,0,0,1,0,1
707,4,5,0,0,0,2,1
708,5,6,0,0,2,2,1
709,6,8,0,0,2,2,1
710,8,5,0,0,2,2,1
711,5,4,0,0,2,0,1
712,4,7,0,0,0,0,1
713,7,0,0,0,0,2,1
714,0,1,0,0,2,2,1
715,1,2,0,0,2,2,1
716,2,3,0,0,2,1,1
717,3,7,0,0,1,0,1
718,7,10,0,1,0,0,1
719,10,9,1,1,0,2,1
720,9,11,1,1,2,2,1
721,11,12,1,1,2,1,1
722,12,13,1,1,1,0,1
723,13,14,1,1,0,2,1
724,14,15,1,1,2,2,1
725,15,16,1,1,2,2,1
726,16,17,1,1,2,2,1
727,17,10,1,1,2,0,1
728,10,7,1,0,0,0,1
729,7,0,0,0,0,2,1
730,0,1,0,0,2,2,1
731,1,2,0,0,2,2,1
732,2,3,0,0,2,1,1
733,3,4,0,0,1,0,1
734,4,5,0,0,0,2,1
735,5,6,0,0,2,2,1
736,6,8,0,0,2,2,1
737,8,3,0,0,2,1,1
738,3,4,0,0,1,0,1
739,4,7,0,0,0,0,1
740,7,0,0,0,0,2,1
741,0,1,0,0,2,2,1
742,1,2,0,0,2,2,1
743,2,7,0,0,2,0,1
744,7,10,0,1,0,0,1
745,10,9,1,1,0,2,1
746,9,11,1,1,2,2,1
747,11,12,1,1,2,1,1
748,12,13,1,1,1,0,1
749,13,14,1,1,0,2,1
750,14,15,1,1,2,2,1
751,15,16,1,1,2,2,1
752,16,17,1,1,2,2,1
753,17,12,1,1,2,1,1
754,12,10,1,1,1,0,1
755,10,7,1,0,0,0,1
756,7,0,0,0,0,2,1
757,0,1,0,0,2,2,1
758,1,2,0,0,2,2,1
759,2,3,0,0,2,1,1
760,3,4,0,0,1,0,1
761,4,5,0,0,0,2,1
762,5,6,0,0,2,2,1
763,6,8,0,0,2,2,1
764,8,2,0,0,2,2,1
765,2,1,0,0,2,2,1
766,1,7,0,0,2,0,1
767,7,0,0,0,0,2,1
768,0,8,0,0,2,2,1
769,8,5,0,0,2,2,1
770,5,3,0,0,2,1,1
771,3,4,0,0,1,0,1
772,4,20,0,2,0,0,1
773,20,18,2,2,0,2,1
774,18,19,2,2,2,2,1
775,19,21,2,2,2,1,1
776,21,22,2,2,1,2,1
777,22,23,2,2,2,2,1
778,23,24,2,2,2,2,1
779,24,25,2,2,2,0,1
780,25,26,2,2,0,2,1
781,26,25,2,2,2,0,1
782,25,28,2,3,0,0,1
783,28,27,3,3,0,2,1
784,27,29,3,3,2,0,1
785,29,13,3,1,0,0,1
786,13,9,1,1,0,2,1
787,9,10,1,1,2,0,1
788,10,7,1,0,0,0,1
789,7,0,0,0,0,2,1
790,0,1,0,0,2,2,1
791,1,2,0,0,2,2,1
792,2,3,0,0,2,1,1
793,3,4,0,0,1,0,1
794,4,5,0,0,0,2,1
795,5,6,0,0,2,2,1
796,6,8,0,0,2,2,1
797,8,7,0,0,2,0,1
798,7,10,0,1,0,0,1
799,10,9,1,1,0,2,1
800,9,11,1,1,2,2,1
801,11,12,1,1,2,1,1
802,12,13,1,1,1,0,1
803,13,14,1,1,0,2,1
804,14,15,1,1,2,2,1
805,15,16,1,1,2,2,1
806,16,17,1,1,2,2,1
807,17,15,1,1,2,2,1
808,15,14,1,1,2,2,1
809,14,10,1,1,2,0,1
810,10,7,1,0,0,0,1
811,7,0,0,0,0,2,1
812,0,1,0,0,2,2,1
813,1,2,0,0,2,2,1
814,2,3,0,0,2,1,1
815,3,4,0,0,1,0,1
816,4,5,0,0,0,2,1
817,5,6,0,0,2,2,1
818,6,8,0,0,2,2,1
819,8,3,0,0,2,1,1
820,3,7,0,0,1,0,1
821,7,10,0,1,0,0,1
822,10,9,1,1,0,2,1
823,9,11,1,1,2,2,1
824,11,12,1,1,2,1,1
825,12,13,1,1,1,0,1
